No.,Variable Name,Description,Option Number,Values,Notes,,,,,,,,,,
,,,,,,,,,,,,,,,
1,id,Unique ID,,,,,,,,,,,,,
2,weight,Weighting factor,,,,,,,,,,,,,
3,year,Survey year,,,,,,,,,,,,,
4,sex,Sex,1,male,,,,,,,,,,,
,,,2,female,,,,,,,,,,,
5,age,Age,,continuous variable,Available 2006 onwards,,,,,,,,,,
6,age_grp,Age groups,1,18-24,,,,,,,,,,,
,,,2,25-34,,,,,,,,,,,
,,,3,35-44,,,,,,,,,,,
,,,4,45-54,,,,,,,,,,,
,,,5,55-64,,,,,,,,,,,
,,,6,65+,,,,,,,,,,,
7,region,Region,1,London (Inner & Outer),,,,,,,,,,,
,,,3,Rest of South East,,,,,,,,,,,
,,,4,South West,,,,,,,,,,,
,,,5,East Anglia,,,,,,,,,,,
,,,6,East Midlands,,,,,,,,,,,
,,,7,West Midlands,,,,,,,,,,,
,,,9,North West,,,,,,,,,,,
,,,12,Yorkshire,,,,,,,,,,,
,,,15,North West,,,,,,,,,,,
,,,17,Wales,,,,,,,,,,,
,,,18,Scotland,,,,,,,,,,,
8,gor,Government Office regions,1,East Midlands,Available 2008 onwards,,,,,,,,,,
,,,2,Eastern,,,,,,,,,,,
,,,3,London,,,,,,,,,,,
,,,4,North East,,,,,,,,,,,
,,,5,North West,,,,,,,,,,,
,,,6,Scotland,,,,,,,,,,,
,,,7,South East,,,,,,,,,,,
,,,8,South West,,,,,,,,,,,
,,,9,Wales,,,,,,,,,,,
,,,10,West Midlands,,,,,,,,,,,
,,,11,Yorks and Humber,,,,,,,,,,,
9,mastat,Marital status,1,Married or living as couple,,,,,,,,,,,
,,,2,Widowed/divorced/seperated,,,,,,,,,,,
,,,3,Never married,,,,,,,,,,,
10,hushop,Are you the main shopper?,0,No,,,,,,,,,,,
,,,1,Yes,,,,,,,,,,,
11,hhsize,Number of individuals in household,1,1,,,,,,,,,,,
,,,2,2,,,,,,,,,,,
,,,3,3,,,,,,,,,,,
,,,4,4,,,,,,,,,,,
,,,5,5+,,,,,,,,,,,
12,lstage,Life stage,1,Single,Available in 2010 and 2011,,,,,,,,,,
,,,2,Pre family,,,,,,,,,,,
,,,3,Family,,,,,,,,,,,
,,,4,Post family,,,,,,,,,,,
13,nkids,Number of children in the household,1,1,,,,,,,,,,,
,,,2,2,,,,,,,,,,,
,,,3,3,,,,,,,,,,,
,,,4,4,,,,,,,,,,,
,,,5,5+,,,,,,,,,,,
14,parent,Parent of children?,0,No,2010 onwards,,,,,,,,,,
,,,1,Yes,,,,,,,,,,,
15,ch03,Children aged 0-3,0,No,,,,,,,,,,,
,,,1,Yes,,,,,,,,,,,
16,ch45,Children aged 4-5,0,No,,,,,,,,,,,
,,,1,Yes,,,,,,,,,,,
17,ch69,Children aged 6-9,0,No,,,,,,,,,,,
,,,1,Yes,,,,,,,,,,,
18,ch1015,Children aged 10-15,0,No,Available 2007 onwards,,,,,,,,,,
,,,1,Yes,,,,,,,,,,,
19,qual,education,1,GCSE/O-Level/CSE,Available 2008 onwards,,,,,,,,,,
,,,2,vocational qualifications,,,,,,,,,,,
,,,3,A Level or equivalent,,,,,,,,,,,
,,,4,Bachelor's degree or equivalent,,,,,,,,,,,
,,,5,Masters/PhD or equivalent,,,,,,,,,,,
,,,6,other,,,,,,,,,,,
,,,7,no formal qualifications,,,,,,,,,,,
,,,8,still studying,,,,,,,,,,,
20,jbstat,Working status of respondent ,1,self employed,,,,,,,,,,,
,,,2,in paid employment,,,,,,,,,,,
,,,3,unemployed,,,,,,,,,,,
,,,4,retired,,,,,,,,,,,
,,,6,full time student,,,,,,,,,,,
,,,7,not in work - long-term illness or disability,,,,,,,,,,,
,,,10,something else,,,,,,,,,,,
21,jbrgsc,Social grade,1,A,,,,,,,,,,,
,,,2,B,,,,,,,,,,,
,,,3,C1,,,,,,,,,,,
,,,4,C2,,,,,,,,,,,
,,,5,D,,,,,,,,,,,
,,,6,E,,,,,,,,,,,
22,hoh,Chief income earner,0,No,,,,,,,,,,,
,,,1,Yes,,,,,,,,,,,
23,jbstathoh,Working status of chief income earner  ,,As jbstat,,,,,,,,,,,
24,fihhyr2,Income,1,<£4500,Available 2008 onwards (although fihhyr_a is available for previous years),,,,,,,,,,
,,(only asked to main shopper or Chief income earner),2,£4500-£6499,,,,,,,,,,,
,,,3,£6500-£7499,,,,,,,,,,,
,,,4,£7500-£9499,,,,,,,,,,,
,,,5,£9500-£11499,,,,,,,,,,,
,,,6,£11500-£13499,,,,,,,,,,,
,,,7,£13500-£15499,,,,,,,,,,,
,,,8,£15500-£17499,,,,,,,,,,,
,,,9,£17500-£24999,,,,,,,,,,,
,,,10,£25000-£34999,,,,,,,,,,,
,,,11,£35000-£39999,,,,,,,,,,,
,,,12,£40000-£49999,,,,,,,,,,,
,,,13,"£50,000-£74,999",,,,,,,,,,,
,,,14,£75000-£99999,,,,,,,,,,,
,,,15,>=£100000,,,,,,,,,,,
25,fihhyr_a,Midpoints of fihhyr2 from 2008 (see notes column for pre-2008),,,"Before the 2008 the categories were as below, so the midpoints are slightly different",,,,,,,,,,
,,,,,"<£2,500",,,,,,,,,,
,,,,,"£2,500-£4,499",,,,,,,,,,
,,,,,"£4,500-£6,499",,,,,,,,,,
,,,,,"£6,500-£7,499",,,,,,,,,,
,,,,,"£7,500-£9,499",,,,,,,,,,
,,,,,"£9,500-£11,499",,,,,,,,,,
,,,,,"£11,500-£13,499",,,,,,,,,,
,,,,,"£13,500-£15,499",,,,,,,,,,
,,,,,"£15,500-£17,499",,,,,,,,,,
,,,,,"£17,500-£24,999",,,,,,,,,,
,,,,,"£25,000-£34,999",,,,,,,,,,
,,,,,"£35,000-£39,999",,,,,,,,,,
,,,,,"£40,000-£59,999",,,,,,,,,,
,,,,,"£60,000-£99,999",,,,,,,,,,
,,,,,">=£100,000",,,,,,,,,,
26,dfihhyr,"How much of your monthly income would you say your household has left after paying tax, national insurance, housing costs (eg. rent, mortgage repayments, council tax), loan repayments (eg. Personal loans, credit cards) and bills (eg. Electricity) ",1,<£200,Available 2007 onwards,,,,,,,,,,
,,,2,£200-£299,,,,,,,,,,,
,,,3,£300-£399,,,,,,,,,,,
,,,4,£400-£499,,,,,,,,,,,
,,,5,£500-£599,,,,,,,,,,,
,,,6,£600-£699,,,,,,,,,,,
,,,7,£700-£799,,,,,,,,,,,
,,,8,£800-£899,,,,,,,,,,,
,,,9,£900-£999,,,,,,,,,,,
,,,10,£1000-£1199,,,,,,,,,,,
,,,11,£1200-£1399,,,,,,,,,,,
,,,12,£1400-£1599,,,,,,,,,,,
,,,13,£1600-£1799,,,,,,,,,,,
,,,14,£1800-£1999,,,,,,,,,,,
,,,15,£2000-£2999,,,,,,,,,,,
,,,16,£3000-£3999,,,,,,,,,,,
,,,17,£4000-£4999,,,,,,,,,,,
,,,18,>=£5000,,,,,,,,,,,
27,dfihhyr_a,Midpoints of dfihhyr,,,Available 2007 onwards,,,,,,,,,,
28,dfihhyrchg,And how much would you say that your monthly left over income has changed over the past year?,1,Gone down by more than £100 per month,Available 2007 onwards,,,,,,,,,,
,,,2,Gone down by between £50 and £100 per month,,,,,,,,,,,
,,,3,Gone down by up to £50 per month,,,,,,,,,,,
,,,4,Roughly the same,,,,,,,,,,,
,,,5,Gone up by up to £50 per month,,,,,,,,,,,
,,,6,Gone up by between £50 and £100 per month,,,,,,,,,,,
,,,7,Gone up by more than £100 per month,,,,,,,,,,,
29,dfihhyrchg_a,Midpoints of dfihhyrchg_a,,,Available 2007 onwards,,,,,,,,,,
30,us,Do you or your household currently owe any money on the following types of loan or credit agreement? (list: usa-usj),0,No,,,,,,,,,,,
,,,1,Yes,,,,,,,,,,,
31,ustot,How much money in total does you or your household currently owe on these loans?,1,<£200,Available 2006 onwards (although ustot_a is available in 2004 and 2005),,,,,,,,,,
,,,2,£200-£499,Values 27 to 31 capture the different response buckets used in 2006 and 2007,,,,,,,,,,
,,,3,£500-£999,,,,,,,,,,,
,,,4,£1000-£1499,,,,,,,,,,,
,,,5,£1500-£1999,,,,,,,,,,,
,,,6,£2000-£2499,,,,,,,,,,,
,,,7,£2500-£2999,,,,,,,,,,,
,,,8,£3000-£3499,,,,,,,,,,,
,,,9,£3500-£3999,,,,,,,,,,,
,,,10,£4000-£4499,,,,,,,,,,,
,,,11,£4500-£4999,,,,,,,,,,,
,,,12,£5000-£5499,,,,,,,,,,,
,,,13,£5500-£5999,,,,,,,,,,,
,,,14,£6000-£6499,,,,,,,,,,,
,,,15,£6500-£6999,,,,,,,,,,,
,,,16,£7000-£7499,,,,,,,,,,,
,,,17,£7500-£7999,,,,,,,,,,,
,,,18,£8000-£8499,,,,,,,,,,,
,,,19,£8500-£8999,,,,,,,,,,,
,,,20,£9000-£9499,,,,,,,,,,,
,,,21,£9500-£9999,,,,,,,,,,,
,,,22,£10000-£14499,,,,,,,,,,,
,,,23,£15000-£19999,,,,,,,,,,,
,,,24,£20000-£24499,,,,,,,,,,,
,,,25,£25000-£29999,,,,,,,,,,,
,,,26,>=£30000,,,,,,,,,,,
,,,27,£5000-£5999,,,,,,,,,,,
,,,28,£10000-£19999,,,,,,,,,,,
,,,29,£20000-£29999,,,,,,,,,,,
,,,30,£10000-£14499,,,,,,,,,,,
,,,31,£20000-£24499,,,,,,,,,,,
32,ustot_a,"Midpoints of ustot after 2006, sum of individual balances on different types of unsecured in 2004 and 2005",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
34,ustoty_a,Unsecured debt to income ratio,,,,,,,,,,,,,
35,ustotdy_a,Unsecured debt to disposable income ratio,,,Available from 2007 onwards,,,,,,,,,,
38,xpus,"Taking into account of your unsecured debts, how much was your last monthly payment on all of the loans?",1,<£10,Available 2006 onwards (although xpus_a is available in 2004 and 2005),,,,,,,,,,
,,,2,£10-£19,,,,,,,,,,,
,,,3,£20-£29,,,,,,,,,,,
,,,4,£30-£39,,,,,,,,,,,
,,,5,£40-£49,,,,,,,,,,,
,,,6,£50-£59,,,,,,,,,,,
,,,7,£60-£69,,,,,,,,,,,
,,,8,£70-£79,,,,,,,,,,,
,,,9,£80-£89,,,,,,,,,,,
,,,10,£90-£99,,,,,,,,,,,
,,,11,£100-£119,,,,,,,,,,,
,,,12,£120-£139,,,,,,,,,,,
,,,13,£140-£159,,,,,,,,,,,
,,,14,£160-£179,,,,,,,,,,,
,,,15,£180-£199,,,,,,,,,,,
,,,16,£200-£219,,,,,,,,,,,
,,,17,£220-£239,,,,,,,,,,,
,,,18,£240-£259,,,,,,,,,,,
,,,19,£260-£279,,,,,,,,,,,
,,,20,£280-£299,,,,,,,,,,,
,,,21,£300-£349,,,,,,,,,,,
,,,22,£350-£399,,,,,,,,,,,
,,,23,£400-£449,,,,,,,,,,,
,,,24,£450-£499,,,,,,,,,,,
,,,25,>=£500,,,,,,,,,,,
