id,type,resultTime,usedProcedure,madeBySensor,observedProperty,hasFeatureOfInterest,hasSimpleResult,hasResult_value,hasResult_unit
Observation0,sosa:Observation,2013-10-02T06:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.865,DEG_C
Observation1,sosa:Observation,2013-10-02T06:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,59.728,PERCENT
Observation2,sosa:Observation,2013-10-02T06:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation3,sosa:Observation,2013-10-02T06:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.817,DEG_C
Observation4,sosa:Observation,2013-10-02T06:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,59.781,PERCENT
Observation5,sosa:Observation,2013-10-02T06:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation6,sosa:Observation,2013-10-02T07:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.793,DEG_C
Observation7,sosa:Observation,2013-10-02T07:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,59.747,PERCENT
Observation8,sosa:Observation,2013-10-02T07:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation9,sosa:Observation,2013-10-02T07:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.793,DEG_C
Observation10,sosa:Observation,2013-10-02T07:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,60.899,PERCENT
Observation11,sosa:Observation,2013-10-02T07:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation12,sosa:Observation,2013-10-02T08:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.674,DEG_C
Observation13,sosa:Observation,2013-10-02T08:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,60.910,PERCENT
Observation14,sosa:Observation,2013-10-02T08:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation15,sosa:Observation,2013-10-02T08:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.698,DEG_C
Observation16,sosa:Observation,2013-10-02T08:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,61.336,PERCENT
Observation17,sosa:Observation,2013-10-02T08:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation18,sosa:Observation,2013-10-02T09:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,20.126,DEG_C
Observation19,sosa:Observation,2013-10-02T09:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.793,PERCENT
Observation20,sosa:Observation,2013-10-02T09:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation21,sosa:Observation,2013-10-02T09:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.912,DEG_C
Observation22,sosa:Observation,2013-10-02T09:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.366,PERCENT
Observation23,sosa:Observation,2013-10-02T09:30:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation24,sosa:Observation,2013-10-02T10:00:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.722,DEG_C
Observation25,sosa:Observation,2013-10-02T10:00:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,62.154,PERCENT
Observation26,sosa:Observation,2013-10-02T10:00:00,Procedure3,Sensor1_Hobo_U12,LightIntensity,ABCE_atrium,,11.8,LUX
Observation27,sosa:Observation,2013-10-02T10:30:00,Procedure1,Sensor1_Hobo_U12,AirTemperature,ABCE_atrium,,19.674,DEG_C
Observation28,sosa:Observation,2013-10-02T10:30:00,Procedure2,Sensor1_Hobo_U12,AirRelativeHumidity,ABCE_atrium,,61.905,PERCENT
