Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Daylight Saving Time Status [](Daily),Environment:Site Day Type Index [](Daily),ZONE ONE:Zone Total Internal Latent Gain Energy [J](Hourly),TEST 352A:Other Equipment Total Heating Energy [J](Monthly),TEST 352 MINUS:Other Equipment Total Heating Energy [J](Monthly),ZONE ONE:Zone Other Equipment Total Heating Energy [J](Monthly),ZONE ONE:Zone Mean Radiant Temperature [C](Hourly),ZN001:WALL001:Surface Inside Face Temperature [C](Daily),ZN001:WALL001:Surface Outside Face Temperature [C](Daily),ZN001:WALL001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL001:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL002:Surface Inside Face Temperature [C](Daily),ZN001:WALL002:Surface Outside Face Temperature [C](Daily),ZN001:WALL002:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL002:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL003:Surface Inside Face Temperature [C](Daily),ZN001:WALL003:Surface Outside Face Temperature [C](Daily),ZN001:WALL003:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL003:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL004:Surface Inside Face Temperature [C](Daily),ZN001:WALL004:Surface Outside Face Temperature [C](Daily),ZN001:WALL004:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL004:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:FLR001:Surface Inside Face Temperature [C](Daily),ZN001:FLR001:Surface Outside Face Temperature [C](Daily),ZN001:FLR001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:ROOF001:Surface Inside Face Temperature [C](Daily),ZN001:ROOF001:Surface Outside Face Temperature [C](Daily),ZN001:ROOF001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:ROOF001:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ZONE ONE:Zone Air Heat Balance Surface Convection Rate [W](Hourly),ZONE ONE:Zone Air Heat Balance Air Energy Storage Rate [W](Hourly) 
 12/21  01:00:00,-15.5,1.25,1.25,,,0.0,,,,-18.208257429442167,,,,,,,,,,,,,,,,,,,,,,,,-18.210957916180156,-0.035919116169558674,-0.03599015482956486 
 12/21  02:00:00,-15.5,3.25,3.25,,,0.0,,,,-18.208346242455278,,,,,,,,,,,,,,,,,,,,,,,,-18.211044743036272,-0.035356039748359436,-0.03542596637573524 
 12/21  03:00:00,-15.5,3.375,3.375,,,0.0,,,,-18.208433661882808,,,,,,,,,,,,,,,,,,,,,,,,-18.211130208729628,-0.03480177731580003,-0.034870609273411936 
 12/21  04:00:00,-15.5,1.125,1.125,,,0.0,,,,-18.208519709584017,,,,,,,,,,,,,,,,,,,,,,,,-18.21121433456837,-0.03425619137291136,-0.034323945731721824 
 12/21  05:00:00,-15.5,1.875,1.875,,,0.0,,,,-18.208604407075555,,,,,,,,,,,,,,,,,,,,,,,,-18.211297141528142,-0.03371914654842012,-0.03378584012708481 
 12/21  06:00:00,-15.5,3.0,3.0,,,0.0,,,,-18.20868777553683,,,,,,,,,,,,,,,,,,,,,,,,-18.211378650257316,-0.03319050955396152,-0.03325615891770778 
 12/21  07:00:00,-15.5,3.0,3.0,,,0.0,,,,-18.208769835815293,,,,,,,,,,,,,,,,,,,,,,,,-18.211458881081974,-0.03267014918400113,-0.03273477062570852 
 12/21  08:00:00,-15.5,3.0,3.0,,,0.0,,,,-18.208850608431604,,,,,,,,,,,,,,,,,,,,,,,,-18.21153785401094,-0.03215793625378138,-0.032221545817560954 
 12/21  09:00:00,-15.5,3.0,3.0,,,0.0,,,,-18.208930113584785,,,,,,,,,,,,,,,,,,,,,,,,-18.21161558874072,-0.03165374357844142,-0.031716357058552754 
 12/21  10:00:00,-15.5,2.375,2.375,,,0.0,,,,-18.2090083711572,,,,,,,,,,,,,,,,,,,,,,,,-18.211692104660283,-0.03115744594654357,-0.03121907890657123 
 12/21  11:00:00,-15.5,0.75,0.75,,,0.0,,,,-18.209085400719573,,,,,,,,,,,,,,,,,,,,,,,,-18.21176742085587,-0.030668920085150653,-0.030729587825272995 
 12/21  12:00:00,-15.5,0.0,0.0,,,0.0,,,,-18.209161221535833,,,,,,,,,,,,,,,,,,,,,,,,-18.211841556115683,-0.03018804463824365,-0.030247762244059655 
 12/21  13:00:00,-15.5,0.0,0.0,,,0.0,,,,-18.209235852567897,,,,,,,,,,,,,,,,,,,,,,,,-18.211914528934493,-0.029714700125573756,-0.02977348243106509 
 12/21  14:00:00,-15.5,0.0,0.0,,,0.0,,,,-18.209309312480443,,,,,,,,,,,,,,,,,,,,,,,,-18.211986357518207,-0.029248768925587587,-0.029306630545016185 
 12/21  15:00:00,-15.5,0.0,0.0,,,0.0,,,,-18.2093816196455,,,,,,,,,,,,,,,,,,,,,,,,-18.212057059788314,-0.028790135236421488,-0.028847090550693774 
 12/21  16:00:00,-15.5,0.0,0.0,,,0.0,,,,-18.20945279214711,,,,,,,,,,,,,,,,,,,,,,,,-18.21212665338637,-0.028338685056557456,-0.028394748229511727 
 12/21  17:00:00,-15.5,0.0,0.0,,,0.0,,,,-18.20952284778577,,,,,,,,,,,,,,,,,,,,,,,,-18.212195155678288,-0.027894306156192705,-0.027949491128246136 
 12/21  18:00:00,-15.5,0.0,0.0,,,0.0,,,,-18.209591804082883,,,,,,,,,,,,,,,,,,,,,,,,-18.212262583758605,-0.027456888050182204,-0.027511208538075708 
 12/21  19:00:00,-15.5,0.0,0.0,,,0.0,,,,-18.20965967828515,,,,,,,,,,,,,,,,,,,,,,,,-18.21232895445476,-0.027026321961959976,-0.027079791481503454 
